city_name,city_country_code,city_id,city_lat,city_lng,city_max_temp,city_humidity,city_cloud_cover,city_wind_speed,record_dt
Bodden Town,KY,3580733,19.28,-81.25,82.4,78,20,12.75,1524315600
Lompoc,US,5367788,34.64,-120.46,48.2,100,90,5.82,1524316080
Kidal,ML,2455290,18.44,1.41,96.61,10,0,11.25,1524317431
Pyay,MM,1299154,18.82,95.22,88.06,45,12,10.25,1524317431
Alugan,PH,1731248,12.22,125.48,79.87,99,88,7.34,1524317431
Zhuhai,CN,2052479,40.71,112.04,57.2,62,20,11.18,1524315600
Goundam,ML,2456917,16.42,-3.66,102.64,17,0,6.22,1524317431
George Town,KY,3580661,19.29,-81.37,82.4,78,20,12.75,1524315600
San Ignacio,BZ,3581194,17.16,-89.07,73.91,89,32,2.73,1524317208
Porbandar,IN,1259395,21.64,69.61,82.84,64,0,11.59,1524317432
Nishihara,JP,1850144,35.74,139.53,66.2,72,1,3.36,1524315360
Dwarka,IN,1273294,28.58,77.04,91.4,17,0,11.41,1524313800
Khed,IN,1274914,18.85,73.88,81.94,36,0,9.24,1524317433
Loei,TH,1609071,17.49,101.72,78.8,88,40,3.36,1524312000
Lucea,JM,3489657,18.44,-78.17,82.4,78,20,9.17,1524315600
Abha,SA,110690,18.22,42.5,64.4,72,75,13.87,1524315600
Guadalupe Victoria,MX,3983636,21.68,-105.33,50.0,100,75,2.71,1524314640
Itoman,JP,1861280,26.12,127.67,73.4,94,90,13.87,1524315360
Vinh,VN,1562798,18.67,105.69,78.34,80,0,3.83,1524317434
El Seibo,DO,3492984,18.76,-69.04,78.8,83,40,12.75,1524315600
Kutum,SD,371745,14.2,24.66,94.45,10,0,5.21,1524317494
Frontera,MX,3527545,18.53,-92.64,73.4,100,5,6.93,1524314580
Atar,MR,2381334,20.52,-13.05,93.73,18,0,0.96,1524317495
